Customer Name,Street Address,Unit,City,State,ZIP,Latitude,Longitude
RUKA,505 Washington Street,,Boston,MA,02135,42.349171,-71.1614155
Yvonne's,2 Winter,,Place Boston,MA,02108,42.3554267,-71.0613722
Columbus Hospitality Group,74A Clarendon Street,,Boston,MA,02116,42.3494105,-71.0745898
Committee,54 Northern Ave,,Boston,MA,02210,42.3460118,-71.033847
Courthouse Fish Market,484 Cambridge St.,,Cambridge,MA,02141,42.3714865,-71.0843177
Cunard Tavern,24 Orleans St.,,East Boston,MA,02128,42.3673549,-71.0387427
Bianca,47 Boylston St.,,Chestnut Hill,MA,02467,42.3266343,-71.1524276
GoGo Ya @ TIME OUT MARKET Landmark Center,401 Park Drive,,Boston,MA,02215,42.3444164,-71.1019598
Hojoko~ Verb Hotel,1271 Boylston St.,,Boston,MA,02215,42.3453384,-71.0967798
O Ya,9 East St,,Boston,MA,02111,42.3513538,-71.0569341
Da LaPosta,825 Washington St,,Newton,MA,02462,42.3253871,-71.257616
DB Culinary Provisions,23 Parkway St,,Stoneham,MA,02180,42.4664906,-71.0999225
TD Garden,100 Legends Way,,Boston,MA,02222,42.3662986,-71.0621622
DeLuca's Market,11 Charles St.,,Boston,MA,02122,42.3008829,-71.0611785
Desnuda Cocina & Bar,647 Tremont St.,,Boston,MA,02118,42.3422149,-71.0754047
Mamaleh's Delicatessen,1659 Beacon St,,Brookline,MA,02445,42.3386892,-71.1368233
"DO & CO Boston, Inc.",440 William F McClellan Hwy, #104a,Boston,MA,02128,42.3934927,-71.0129766
Dole & Bailey,16 Conn Street,,Woburn,MA,01801,42.4713708,-71.1477528
Dope Dinners,139 Glendale Rd,,Quincy,MA,02169,42.2498974,-71.0092286
"Double Ventures, LLC",17 Autumn Ln,,Natick,MA,01770,42.2736788,-71.3851238
Drifters Kitchen and Bar,1464 Hancock street,,Quincy,MA,02169,42.2497781,-71.0025854
Equal Measure,775 Beacon St,,Boston,MA,02215,42.346284,-71.1059922
Eataly Boston Central Kitchen,800 Boylston ST,,Boston,MA,02199,42.3471718,-71.0825069
Eataly Boston Scuola,800 Boylston St,,Boston,MA,02199,42.3471718,-71.0825069
Eataly Boston Pasta Retail,800 Boylston ST,,Boston,MA,02199,42.3471718,-71.0825069
Eataly Boston Pizza Pasta,800 Boylston St,,Boston,MA,02199,42.3471718,-71.0825069
Eataly Boston Terra,800 Boylston St,,Boston,MA,02199,42.3471718,-71.0825069
EBO & Co. Grocery,110 Meridian Street,,Boston,MA,02128,42.372913,-71.0392471
Essex County Club,153 School St.,,Manchester-by-the-Sea,MA,01944,42.5850486,-70.7617759
"Estella Eat, Drink, & Lounge",49 Temple Place,,Boston,MA,02111,42.3548672,-71.061852
Eva,279A Newbury St,,Boston,MA,02115,42.3492887,-71.0843668
Fallow Kin,853 Main Street,,Cambridge,MA,02139,42.3629156,-71.0928178
Falmouth Fish Market,157 Teaticket Highway,,Teaticket,MA,02536,41.5645467,-70.5957042
FATBOY Foods LLC,255 Walnut St,,West Bridgewater,MA,02357,42.0411069,-71.0512451
Feast and The Fable,334 Arlington St.,,Watertown,MA,20478,42.3740114,-71.1582238
Ferncooks,29 Olney St,,Watertown,MA,02458,42.3721123,-71.1954741
Compass Flik Putnam,1 Post Office Sq.,8th Floor ,Boston,MA,02109,42.356809,-71.0551195
Fly Club,2 Holyoke Place,,Cambridge,MA,02138,42.3714523,-71.1178744
"Food Saucy, LLC",44 High St.,,Newton Upper Falls,MA,02464,42.3136873,-71.2235429
Formaggio Kitchen Inc,358 Huron Avenue,,Cambridge,MA,02138,42.3811155,-71.1384408
Formaggio Kitchen Inc,358 Huron Avenue,,Cambridge,MA,02138,42.3811155,-71.1384408
Formaggio Kitchen Kendall,94 Hampshire St.,,Cambridge,MA,02139,42.3688187,-71.0951026
Forum FO Private Chef,1045 Old Post Rd.,,Cotuit,MA,02635,41.6355896,-70.4150522
Four Seasons Hotel Boston,200 Boylston Street,,Boston,MA,02116,42.3520546,-71.068135
Bradford Logistics,290 William F McClellan Hwy,,Boston,MA,02150,42.3894782,-71.0159389
G&R Fish Market,135 Main Street,,Sturbridge,MA,01566,42.0875019,-72.0616262
Gaaeng Supper Club,46 Hillsdale Rd.,,Medford,MA,02144,42.4113518,-71.1245431
Gordon Ramsay Burger Boston,99 Blackstone St.,,Boston,MA,02201,42.3619128,-71.0563913
"Gourmet Caterers, Inc.",3867 Washington St,,Roslindale,MA,02131,42.2961269,-71.1181933
Russell House Tavern,14 John F. Kennedy St.,,Cambridge,MA,02138,42.3731448,-71.1195115
State Street Provisions,255 State St,,Boston,MA,02110,42.3593913,-71.0510643
The Hourly Oyster House,15 Dunster,,Street Cambridge,MA,02138,42.372761,-71.1191554
Gray's Hall,615 East Broadway,,South Boston,MA,02127,42.3359241,-71.0240594
"Great Eastern Seafood, Inc",88 Black Falcon Avenue,,Boston,MA,02210,42.3438479,-71.0241801
Gustazo Cuban Kitchen & Bar,240 Moody St,,Waltham,MA,02453,42.3718916,-71.2365105
Haley Henry Wine Bar,45 Province St.,,Boston,MA,02108,42.3571981,-71.0599408
75 on Liberty Wharf,84 Beacon Street,,Boston,MA,02108,42.3560037,-71.0712383
Hao Shi Guang,48 Harvard Ave,,Allston,MA,02134,42.3544993,-71.1323319
Harvard Club of Boston,415 Newbury St,,Boston,MA,02115,42.3482396,-71.089737
Bistro du Midi,272 Boylston Street,,Boston,MA,02115,42.3466745,-71.092774
Grill 23,161 Berkeley St.,,Boston,MA,02116,42.354419,-71.074603
Harvest,44 Brattle St.,,Cambridge,MA,02138,42.373797,-71.122437
